No.,Gen,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,HP,Att,Def,S.Att,S.Def,Spd,total,moveset
#812,,Rillaboom,grass,,Overgrow,,Grassy Surge,100,125,90,60,70,85,530,"[['1', 'Branch Poke', 'GRASS', 'physical', '40', '100'], ['1', 'Double Hit', 'NORMAL', 'physical', '35', '90'], ['1', 'Drum Beating', 'GRASS', 'physical', '80', '100'], ['1', 'Grassy Terrain', 'GRASS', 'status', '-', '-'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Noble Roar', 'NORMAL', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Taunt', 'DARK', 'status', '-', '100'], ['12', 'Razor Leaf', 'GRASS', 'physical', '55', '95'], ['19', 'Screech', 'NORMAL', 'status', '-', '85'], ['24', 'Knock Off', 'DARK', 'physical', '65', '100'], ['30', 'Slam', 'NORMAL', 'physical', '80', '75'], ['38', 'Uproar', 'NORMAL', 'special', '90', '100'], ['46', 'Wood Hammer', 'GRASS', 'physical', '120', '100'], ['54', 'Endeavor', 'NORMAL', 'physical', '-', '100'], ['62', 'Boomburst', 'NORMAL', 'special', '140', '100']]"
#813,,Scorbunny,fire,,Blaze,,Libero,50,71,40,40,40,69,310,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['6', 'Ember', 'FIRE', 'special', '40', '100'], ['8', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['12', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['17', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['20', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['24', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['28', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['32', 'Bounce', 'FLYING', 'physical', '85', '85'], ['36', 'Double-Edge', 'NORMAL', 'physical', '120', '100']]"
#814,,Raboot,fire,,Blaze,,Libero,65,86,60,55,60,94,420,"[['1', 'Ember', 'FIRE', 'special', '40', '100'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['12', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['19', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['24', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['30', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['36', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['42', 'Bounce', 'FLYING', 'physical', '85', '85'], ['48', 'Double-Edge', 'NORMAL', 'physical', '120', '100']]"
#815,,Cinderace,fire,,Blaze,,Libero,80,116,75,65,75,119,530,"[['1', 'Ember', 'FIRE', 'special', '40', '100'], ['1', 'Feint', 'NORMAL', 'physical', '30', '100'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Pyro Ball', 'FIRE', 'physical', '120', '90'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['12', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['19', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['24', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['30', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['38', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['46', 'Bounce', 'FLYING', 'physical', '85', '85'], ['54', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['62', 'Court Change', 'NORMAL', 'status', '-', '100']]"
#816,,Sobble,water,,Torrent,,Sniper,50,40,40,70,40,70,310,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['6', 'Water Gun', 'WATER', 'special', '40', '100'], ['8', 'Bind', 'NORMAL', 'physical', '15', '85'], ['12', 'Water Pulse', 'WATER', 'special', '60', '100'], ['17', 'Tearful Look', 'NORMAL', 'status', '-', '-'], ['20', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['24', 'U-turn', 'BUG', 'physical', '70', '100'], ['28', 'Liquidation', 'WATER', 'physical', '85', '100'], ['32', 'Soak', 'WATER', 'status', '-', '100'], ['36', 'Rain Dance', 'WATER', 'status', '-', '-']]"
#817,,Drizzile,water,,Torrent,,Sniper,65,60,55,95,55,90,420,"[['1', 'Bind', 'NORMAL', 'physical', '15', '85'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['12', 'Water Pulse', 'WATER', 'special', '60', '100'], ['19', 'Tearful Look', 'NORMAL', 'status', '-', '-'], ['24', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['30', 'U-turn', 'BUG', 'physical', '70', '100'], ['36', 'Liquidation', 'WATER', 'physical', '85', '100'], ['42', 'Soak', 'WATER', 'status', '-', '100'], ['48', 'Rain Dance', 'WATER', 'status', '-', '-']]"
#818,,Inteleon,water,,Torrent,,Sniper,70,85,65,125,65,120,530,"[['1', 'Acrobatics', 'FLYING', 'physical', '55', '100'], ['1', 'Bind', 'NORMAL', 'physical', '15', '85'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['1', 'Snipe Shot', 'WATER', 'special', '80', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['12', 'Water Pulse', 'WATER', 'special', '60', '100'], ['19', 'Tearful Look', 'NORMAL', 'status', '-', '-'], ['24', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['30', 'U-turn', 'BUG', 'physical', '70', '100'], ['38', 'Liquidation', 'WATER', 'physical', '85', '100'], ['46', 'Soak', 'WATER', 'status', '-', '100'], ['54', 'Rain Dance', 'WATER', 'status', '-', '-'], ['62', 'Hydro Pump', 'WATER', 'special', '110', '80']]"
#819,,Skwovet,normal,,Cheek Pouch,,Gluttony,70,55,55,35,35,25,275,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['5', 'Bite', 'DARK', 'physical', '60', '100'], ['10', 'Stuff Cheeks', 'NORMAL', 'status', '-', '-'], ['15', 'Spit Up', 'NORMAL', 'special', '-', '100'], ['15', 'Stockpile', 'NORMAL', 'status', '-', '-'], ['15', 'Swallow', 'NORMAL', 'status', '-', '-'], ['20', 'Body Slam', 'NORMAL', 'physical', '85', '100'], ['25', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['30', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['35', 'Bullet Seed', 'GRASS', 'physical', '25', '100'], ['40', 'Super Fang', 'NORMAL', 'physical', '-', '90'], ['45', 'Belch', 'POISON', 'special', '120', '90']]"
#820,,Greedent,normal,,Cheek Pouch,,Gluttony,120,95,95,55,75,20,460,"[['1', 'Bite', 'DARK', 'physical', '60', '100'], ['1', 'Covet', 'NORMAL', 'physical', '60', '100'], ['1', 'Stuff Cheeks', 'NORMAL', 'status', '-', '-'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['15', 'Spit Up', 'NORMAL', 'special', '-', '100'], ['15', 'Stockpile', 'NORMAL', 'status', '-', '-'], ['15', 'Swallow', 'NORMAL', 'status', '-', '-'], ['20', 'Body Slam', 'NORMAL', 'physical', '85', '100'], ['27', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['34', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['41', 'Bullet Seed', 'GRASS', 'physical', '25', '100'], ['48', 'Super Fang', 'NORMAL', 'physical', '-', '90'], ['55', 'Belch', 'POISON', 'special', '120', '90']]"
#821,,Rookidee,flying,,Keen Eye,Unnerve,Big Pecks,38,47,35,33,35,57,245,"[['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Peck', 'FLYING', 'physical', '35', '100'], ['4', 'Power Trip', 'DARK', 'physical', '20', '100'], ['8', 'Hone Claws', 'DARK', 'status', '-', '-'], ['12', 'Fury Attack', 'NORMAL', 'physical', '15', '85'], ['16', 'Pluck', 'FLYING', 'physical', '60', '100'], ['20', 'Taunt', 'DARK', 'status', '-', '100'], ['24', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['28', 'Drill Peck', 'FLYING', 'physical', '80', '100'], ['32', 'Swagger', 'NORMAL', 'status', '-', '85'], ['36', 'Brave Bird', 'FLYING', 'physical', '120', '100']]"
#822,,Corvisquire,flying,,Keen Eye,Unnerve,Big Pecks,68,67,55,43,55,77,365,"[['1', 'Hone Claws', 'DARK', 'status', '-', '-'], ['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Peck', 'FLYING', 'physical', '35', '100'], ['1', 'Power Trip', 'DARK', 'physical', '20', '100'], ['12', 'Fury Attack', 'NORMAL', 'physical', '15', '85'], ['16', 'Pluck', 'FLYING', 'physical', '60', '100'], ['22', 'Taunt', 'DARK', 'status', '-', '100'], ['28', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['34', 'Drill Peck', 'FLYING', 'physical', '80', '100'], ['40', 'Swagger', 'NORMAL', 'status', '-', '85'], ['46', 'Brave Bird', 'FLYING', 'physical', '120', '100']]"
#823,,Corviknight,flying,steel,Pressure,Unnerve,Mirror Armor,98,87,105,53,85,67,495,"[['1', 'Hone Claws', 'DARK', 'status', '-', '-'], ['1', 'Iron Defense', 'STEEL', 'status', '-', '-'], ['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Metal Sound', 'STEEL', 'status', '-', '85'], ['1', 'Peck', 'FLYING', 'physical', '35', '100'], ['1', 'Power Trip', 'DARK', 'physical', '20', '100'], ['1', 'Steel Wing', 'STEEL', 'physical', '70', '90'], ['12', 'Fury Attack', 'NORMAL', 'physical', '15', '85'], ['16', 'Pluck', 'FLYING', 'physical', '60', '100'], ['22', 'Taunt', 'DARK', 'status', '-', '100'], ['28', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['34', 'Drill Peck', 'FLYING', 'physical', '80', '100'], ['42', 'Swagger', 'NORMAL', 'status', '-', '85'], ['50', 'Brave Bird', 'FLYING', 'physical', '120', '100']]"
#824,,Blipbug,bug,,Swarm,Compoundeyes,Telepathy,25,20,20,25,45,45,180,"[['1', 'Struggle Bug', 'BUG', 'special', '50', '100']]"
#825,,Dottler,bug,psychic,Swarm,Compoundeyes,Telepathy,50,35,80,50,90,30,335,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Light Screen', 'PSYCHIC', 'status', '-', '-'], ['1', 'Reflect', 'PSYCHIC', 'status', '-', '-'], ['1', 'Struggle Bug', 'BUG', 'special', '50', '100']]"
#826,,Orbeetle,bug,psychic,Swarm,Frisk,Telepathy,60,45,110,80,120,90,505,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Light Screen', 'PSYCHIC', 'status', '-', '-'], ['1', 'Reflect', 'PSYCHIC', 'status', '-', '-'], ['1', 'Struggle Bug', 'BUG', 'special', '50', '100'], ['4', 'Confuse Ray', 'GHOST', 'status', '-', '100'], ['8', 'Magic Coat', 'PSYCHIC', 'status', '-', '-'], ['12', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['16', 'Psybeam', 'PSYCHIC', 'special', '65', '100'], ['20', 'Hypnosis', 'PSYCHIC', 'status', '-', '60'], ['24', 'Ally Switch', 'PSYCHIC', 'status', '-', '-'], ['28', 'Bug Buzz', 'BUG', 'special', '90', '100'], ['32', 'Mirror Coat', 'PSYCHIC', 'special', '-', '100'], ['36', 'Psychic', 'PSYCHIC', 'special', '90', '100'], ['40', 'After You', 'NORMAL', 'status', '-', '-'], ['44', 'Calm Mind', 'PSYCHIC', 'status', '-', '-'], ['48', 'Psychic Terrain', 'PSYCHIC', 'status', '-', '-']]"
#827,,Nickit,dark,,Run Away,Unburden,Stakeout,40,28,28,47,52,50,245,"[['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['4', 'Beat Up', 'DARK', 'physical', '-', '100'], ['8', 'Hone Claws', 'DARK', 'status', '-', '-'], ['12', 'Snarl', 'DARK', 'special', '55', '95'], ['16', 'Assurance', 'DARK', 'physical', '60', '100'], ['20', 'Nasty Plot', 'DARK', 'status', '-', '-'], ['24', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['28', 'Night Slash', 'DARK', 'physical', '70', '100'], ['32', 'Tail Slap', 'NORMAL', 'physical', '25', '85'], ['36', 'Foul Play', 'DARK', 'physical', '95', '100']]"
#828,,Thievul,dark,,Run Away,Unburden,Stakeout,70,58,58,87,92,90,455,"[['1', 'Beat Up', 'DARK', 'physical', '-', '100'], ['1', 'Hone Claws', 'DARK', 'status', '-', '-'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['1', 'Thief', 'DARK', 'physical', '60', '100'], ['12', 'Snarl', 'DARK', 'special', '55', '95'], ['16', 'Assurance', 'DARK', 'physical', '60', '100'], ['22', 'Nasty Plot', 'DARK', 'status', '-', '-'], ['28', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['34', 'Night Slash', 'DARK', 'physical', '70', '100'], ['40', 'Tail Slap', 'NORMAL', 'physical', '25', '85'], ['46', 'Foul Play', 'DARK', 'physical', '95', '100'], ['52', 'Parting Shot', 'DARK', 'status', '-', '100']]"
#829,,Gossifleur,grass,,Cotton Down,Regenerator,Effect Spore,40,40,60,40,60,10,250,"[['1', 'Leafage', 'GRASS', 'physical', '40', '100'], ['1', 'Sing', 'NORMAL', 'status', '-', '55'], ['4', 'Rapid Spin', 'NORMAL', 'physical', '50', '100'], ['8', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['12', 'Razor Leaf', 'GRASS', 'physical', '55', '95'], ['16', 'Round', 'NORMAL', 'special', '60', '100'], ['21', 'Leaf Tornado', 'GRASS', 'special', '65', '90'], ['24', 'Synthesis', 'GRASS', 'status', '-', '-'], ['28', 'Hyper Voice', 'NORMAL', 'special', '90', '100'], ['32', 'Aromatherapy', 'GRASS', 'status', '-', '-'], ['36', 'Leaf Storm', 'GRASS', 'special', '130', '90']]"
#830,,Eldegoss,grass,,Cotton Down,Regenerator,Effect Spore,60,50,90,80,120,60,460,"[['1', 'Cotton Spore', 'GRASS', 'status', '-', '100'], ['1', 'Leafage', 'GRASS', 'physical', '40', '100'], ['1', 'Rapid Spin', 'NORMAL', 'physical', '50', '100'], ['1', 'Sing', 'NORMAL', 'status', '-', '55'], ['1', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['12', 'Razor Leaf', 'GRASS', 'physical', '55', '95'], ['16', 'Round', 'NORMAL', 'special', '60', '100'], ['23', 'Leaf Tornado', 'GRASS', 'special', '65', '90'], ['28', 'Synthesis', 'GRASS', 'status', '-', '-'], ['34', 'Hyper Voice', 'NORMAL', 'special', '90', '100'], ['40', 'Aromatherapy', 'GRASS', 'status', '-', '-'], ['46', 'Leaf Storm', 'GRASS', 'special', '130', '90'], ['52', 'Cotton Guard', 'GRASS', 'status', '-', '-']]"
#831,,Wooloo,normal,,Fluffy,Run Away,Bulletproof,42,40,55,40,45,48,270,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['4', 'Defense Curl', 'NORMAL', 'status', '-', '-'], ['8', 'Copycat', 'NORMAL', 'status', '-', '-'], ['12', 'Guard Split', 'PSYCHIC', 'status', '-', '-'], ['16', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['21', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['25', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['28', 'Guard Swap', 'PSYCHIC', 'status', '-', '-'], ['32', 'Reversal', 'FIGHTING', 'physical', '-', '100'], ['36', 'Cotton Guard', 'GRASS', 'status', '-', '-'], ['40', 'Double-Edge', 'NORMAL', 'physical', '120', '100']]"
#832,,Dubwool,normal,,Fluffy,Steadfast,Bulletproof,72,80,100,60,90,88,490,"[['1', 'Copycat', 'NORMAL', 'status', '-', '-'], ['1', 'Defense Curl', 'NORMAL', 'status', '-', '-'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['12', 'Guard Split', 'PSYCHIC', 'status', '-', '-'], ['16', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['21', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['27', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['32', 'Guard Swap', 'PSYCHIC', 'status', '-', '-'], ['38', 'Reversal', 'FIGHTING', 'physical', '-', '100'], ['44', 'Cotton Guard', 'GRASS', 'status', '-', '-'], ['50', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['56', 'Last Resort', 'NORMAL', 'physical', '140', '100']]"
#833,,Chewtle,water,,Strong Jaw,Shell Armor,Swift Swim,50,64,50,38,38,44,284,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['7', 'Bite', 'DARK', 'physical', '60', '100'], ['14', 'Protect', 'NORMAL', 'status', '-', '-'], ['21', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['28', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['35', 'Jaw Lock', 'DARK', 'physical', '80', '100'], ['42', 'Liquidation', 'WATER', 'physical', '85', '100'], ['49', 'Body Slam', 'NORMAL', 'physical', '85', '100']]"
#834,,Drednaw,water,rock,Strong Jaw,Shell Armor,Swift Swim,90,115,90,48,68,74,485,"[['1', 'Bite', 'DARK', 'physical', '60', '100'], ['1', 'Crunch', 'DARK', 'physical', '80', '100'], ['1', 'Protect', 'NORMAL', 'status', '-', '-'], ['1', 'Razor Shell', 'WATER', 'physical', '75', '95'], ['1', 'Rock Polish', 'ROCK', 'status', '-', '-'], ['1', 'Rock Tomb', 'ROCK', 'physical', '60', '95'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['21', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['30', 'Counter', 'FIGHTING', 'physical', '-', '100'], ['39', 'Jaw Lock', 'DARK', 'physical', '80', '100'], ['48', 'Liquidation', 'WATER', 'physical', '85', '100'], ['57', 'Body Slam', 'NORMAL', 'physical', '85', '100'], ['66', 'Head Smash', 'ROCK', 'physical', '150', '80']]"
#835,,Yamper,electric,,Ball Fetch,,Rattled,59,45,50,40,50,26,270,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['5', 'Nuzzle', 'ELECTRIC', 'physical', '20', '100'], ['10', 'Bite', 'DARK', 'physical', '60', '100'], ['15', 'Roar', 'NORMAL', 'status', '-', '-'], ['20', 'Spark', 'ELECTRIC', 'physical', '65', '100'], ['26', 'Charm', 'FAIRY', 'status', '-', '100'], ['30', 'Crunch', 'DARK', 'physical', '80', '100'], ['35', 'Charge', 'ELECTRIC', 'status', '-', '-'], ['40', 'Wild Charge', 'ELECTRIC', 'physical', '90', '100'], ['45', 'Play Rough', 'FAIRY', 'physical', '90', '90']]"
#836,,Boltund,electric,,Strong Jaw,,Competitive,69,90,60,90,60,121,490,"[['1', 'Bite', 'DARK', 'physical', '60', '100'], ['1', 'Electrify', 'ELECTRIC', 'status', '-', '-'], ['1', 'Nuzzle', 'ELECTRIC', 'physical', '20', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['15', 'Roar', 'NORMAL', 'status', '-', '-'], ['20', 'Spark', 'ELECTRIC', 'physical', '65', '100'], ['28', 'Charm', 'FAIRY', 'status', '-', '100'], ['34', 'Crunch', 'DARK', 'physical', '80', '100'], ['41', 'Charge', 'ELECTRIC', 'status', '-', '-'], ['48', 'Wild Charge', 'ELECTRIC', 'physical', '90', '100'], ['55', 'Play Rough', 'FAIRY', 'physical', '90', '90'], ['62', 'Electric Terrain', 'ELECTRIC', 'status', '-', '-']]"
#837,,Rolycoly,rock,,Steam Engine,Heatproof,Flash Fire,30,40,50,40,50,30,240,"[['1', 'Smokescreen', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Rapid Spin', 'NORMAL', 'physical', '50', '100'], ['10', 'Smack Down', 'ROCK', 'physical', '50', '100'], ['15', 'Rock Polish', 'ROCK', 'status', '-', '-'], ['20', 'Ancient Power', 'ROCK', 'special', '60', '100'], ['25', 'Incinerate', 'FIRE', 'special', '60', '100'], ['30', 'Stealth Rock', 'ROCK', 'status', '-', '-'], ['35', 'Heat Crash', 'FIRE', 'physical', '-', '100'], ['40', 'Rock Blast', 'ROCK', 'physical', '25', '90']]"
#838,,Carkol,rock,fire,Steam Engine,Flame Body,Flash Fire,80,60,90,60,70,50,410,"[['1', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['1', 'Rapid Spin', 'NORMAL', 'physical', '50', '100'], ['1', 'Smack Down', 'ROCK', 'physical', '50', '100'], ['1', 'Smokescreen', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['15', 'Rock Polish', 'ROCK', 'status', '-', '-'], ['20', 'Ancient Power', 'ROCK', 'special', '60', '100'], ['27', 'Incinerate', 'FIRE', 'special', '60', '100'], ['35', 'Stealth Rock', 'ROCK', 'status', '-', '-'], ['41', 'Heat Crash', 'FIRE', 'physical', '-', '100'], ['48', 'Rock Blast', 'ROCK', 'physical', '25', '90'], ['55', 'Burn Up', 'FIRE', 'special', '130', '100']]"
#839,,Coalossal,rock,fire,Steam Engine,Flame Body,Flash Fire,110,80,120,80,90,30,510,"[['1', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['1', 'Rapid Spin', 'NORMAL', 'physical', '50', '100'], ['1', 'Smack Down', 'ROCK', 'physical', '50', '100'], ['1', 'Smokescreen', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tar Shot', 'ROCK', 'status', '-', '100'], ['15', 'Rock Polish', 'ROCK', 'status', '-', '-'], ['20', 'Ancient Power', 'ROCK', 'special', '60', '100'], ['27', 'Incinerate', 'FIRE', 'special', '60', '100'], ['37', 'Stealth Rock', 'ROCK', 'status', '-', '-'], ['45', 'Heat Crash', 'FIRE', 'physical', '-', '100'], ['54', 'Rock Blast', 'ROCK', 'physical', '25', '90'], ['63', 'Burn Up', 'FIRE', 'special', '130', '100']]"
#840,,Applin,grass,dragon,Ripen,Gluttony,Bulletproof,40,40,80,40,40,20,260,"[['1', 'Astonish', 'GHOST', 'physical', '30', '100'], ['1', 'Withdraw', 'WATER', 'status', '-', '-']]"
#841,,Flapple,grass,dragon,Ripen,Gluttony,Hustle,70,110,80,95,60,70,485,"[['1', 'Astonish', 'GHOST', 'physical', '30', '100'], ['1', 'Growth', 'NORMAL', 'status', '-', '-'], ['1', 'Recycle', 'NORMAL', 'status', '-', '-'], ['1', 'Twister', 'DRAGON', 'special', '40', '100'], ['1', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['1', 'Withdraw', 'WATER', 'status', '-', '-'], ['4', 'Acid Spray', 'POISON', 'special', '40', '100'], ['8', 'Acrobatics', 'FLYING', 'physical', '55', '100'], ['12', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['16', 'Protect', 'NORMAL', 'status', '-', '-'], ['20', 'Dragon Breath', 'DRAGON', 'special', '60', '100'], ['24', 'Dragon Dance', 'DRAGON', 'status', '-', '-'], ['28', 'Dragon Pulse', 'DRAGON', 'special', '85', '100'], ['32', 'Grav Apple', 'GRASS', 'physical', '80', '100'], ['36', 'Iron Defense', 'STEEL', 'status', '-', '-'], ['40', 'Fly', 'FLYING', 'physical', '90', '95'], ['44', 'Dragon Rush', 'DRAGON', 'physical', '100', '75']]"
#842,,Appletun,grass,dragon,Ripen,Gluttony,Thick Fat,110,85,80,100,80,30,485,"[['1', 'Astonish', 'GHOST', 'physical', '30', '100'], ['1', 'Growth', 'NORMAL', 'status', '-', '-'], ['1', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['1', 'Recycle', 'NORMAL', 'status', '-', '-'], ['1', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['1', 'Withdraw', 'WATER', 'status', '-', '-'], ['4', 'Curse', 'GHOST', 'status', '-', '-'], ['8', 'Stomp', 'NORMAL', 'physical', '65', '100'], ['12', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['16', 'Protect', 'NORMAL', 'status', '-', '-'], ['20', 'Bullet Seed', 'GRASS', 'physical', '25', '100'], ['24', 'Recover', 'NORMAL', 'status', '-', '-'], ['28', 'Apple Acid', 'GRASS', 'special', '80', '100'], ['32', 'Body Slam', 'NORMAL', 'physical', '85', '100'], ['36', 'Iron Defense', 'STEEL', 'status', '-', '-'], ['40', 'Dragon Pulse', 'DRAGON', 'special', '85', '100'], ['44', 'Energy Ball', 'GRASS', 'special', '90', '100']]"
#843,,Silicobra,ground,,Sand Spit,Shed Skin,Sand Veil,52,57,75,35,50,46,315,"[['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Wrap', 'NORMAL', 'physical', '15', '90'], ['5', 'Minimize', 'NORMAL', 'status', '-', '-'], ['10', 'Brutal Swing', 'DARK', 'physical', '60', '100'], ['15', 'Bulldoze', 'GROUND', 'physical', '60', '100'], ['20', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['25', 'Glare', 'NORMAL', 'status', '-', '100'], ['30', 'Dig', 'GROUND', 'physical', '80', '100'], ['35', 'Sandstorm', 'ROCK', 'status', '-', '-'], ['40', 'Slam', 'NORMAL', 'physical', '80', '75'], ['45', 'Coil', 'POISON', 'status', '-', '-'], ['50', 'Sand Tomb', 'GROUND', 'physical', '35', '85']]"
#844,,Sandaconda,ground,,Sand Spit,Shed Skin,Sand Veil,72,107,125,65,70,71,510,"[['1', 'Brutal Swing', 'DARK', 'physical', '60', '100'], ['1', 'Minimize', 'NORMAL', 'status', '-', '-'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Skull Bash', 'NORMAL', 'physical', '130', '100'], ['1', 'Wrap', 'NORMAL', 'physical', '15', '90'], ['15', 'Bulldoze', 'GROUND', 'physical', '60', '100'], ['20', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['25', 'Glare', 'NORMAL', 'status', '-', '100'], ['30', 'Dig', 'GROUND', 'physical', '80', '100'], ['35', 'Sandstorm', 'ROCK', 'status', '-', '-'], ['42', 'Slam', 'NORMAL', 'physical', '80', '75'], ['49', 'Coil', 'POISON', 'status', '-', '-'], ['51', 'Sand Tomb', 'GROUND', 'physical', '35', '85']]"
